,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-30,632.5142171870929,632.5142171870929,619.1066018367703,630.883544921875,22348580,0.0,0.0
2019-05-02,630.5212540488551,640.4411125413264,626.0369501960896,636.4324340820312,18992003,0.0,0.0
2019-05-03,637.7459115071717,642.0717133956055,635.3452281295639,638.153564453125,14240262,0.0,0.0
2019-05-06,633.2390337400451,635.4132434055185,624.2250711806812,627.3052368164062,15832114,0.0,0.0
2019-05-07,631.7895587083403,631.8801482606139,607.0578852536637,608.5526733398438,19417647,0.0,0.0
2019-05-08,606.9672766174367,606.9672766174367,585.3157695681493,588.5997314453125,31958919,0.0,0.0
2019-05-09,583.7756892853282,583.7756892853282,566.9935216290486,569.1224365234375,42670173,0.0,0.0
2019-05-10,572.9952180960368,578.7478358060608,563.936021415503,566.7217407226562,24557430,0.0,0.0
2019-05-13,565.2496236706977,571.0927703860458,556.009187529697,558.0701904296875,17603659,0.0,0.0
2019-05-14,560.0858343751563,574.9656208895605,557.8210352467091,570.9342651367188,28438234,0.0,0.0
2019-05-15,576.6189335669163,578.8837327865753,566.4726016165389,569.3262329101562,24419559,0.0,0.0
2019-05-16,570.7078302060505,576.1207071444194,569.8698466097801,573.15380859375,14451308,0.0,0.0
2019-05-17,573.9012183512335,578.4081394156208,567.106759842664,574.0823974609375,17276949,0.0,0.0
2019-05-20,595.0091878497384,605.9255315498777,590.434233920387,600.58056640625,26979100,0.0,0.0
2019-05-21,603.434184819292,619.1971887188718,602.4603169889127,606.8766479492188,30343560,0.0,0.0
2019-05-22,609.5265650857787,615.890632565889,604.7478148324146,607.1484985351562,24689918,0.0,0.0
2019-05-23,621.462016266213,630.5212129346689,600.1728678111436,604.2042236328125,38766006,0.0,0.0
2019-05-24,610.5909849176815,613.2181423478097,596.322707441924,605.5404663085938,22269265,0.0,0.0
2019-05-27,605.6537745049333,605.8349536176505,592.0196229572769,593.6729125976562,16076686,0.0,0.0
2019-05-28,597.8174546863662,604.6118519102811,594.8958511806139,599.6066284179688,42594251,0.0,0.0
2019-05-29,598.3610351114186,603.9324738926832,590.7286538177748,594.760009765625,15558515,0.0,0.0
2019-05-30,596.2094869708186,607.8732238977833,596.2094869708186,602.324462890625,23494381,0.0,0.0
2019-05-31,606.0160507790605,607.827902134886,597.998634230838,602.505615234375,25724066,0.0,0.0
2019-06-03,604.7024803399294,619.3104988080642,598.4516199782853,616.1171264648438,18556942,0.0,0.0
2019-06-04,614.8714200750179,622.4811840423455,610.6362679728861,612.2442626953125,15442761,0.0,0.0
2019-06-06,616.88716470077,616.88716470077,598.4063514547007,601.2373657226562,16764835,0.0,0.0
2019-06-07,600.6032465589645,601.1920786664771,591.3854872060115,595.5980224609375,14722419,0.0,0.0
2019-06-10,598.3156990034965,601.0787405787773,593.4237426631427,597.5230102539062,11768468,0.0,0.0
2019-06-11,598.7460941421028,604.4760346220975,597.0022149891481,602.0526733398438,11492074,0.0,0.0
2019-06-12,604.5666070773331,606.2425742541574,600.1728928811808,603.4115600585938,10297599,0.0,0.0
2019-06-13,602.437653091078,604.5665678875099,592.7669469614845,601.1920166015625,15686169,0.0,0.0
2019-06-14,598.7686928211276,600.1728913397793,593.1067249182078,596.79833984375,14942768,0.0,0.0
2019-06-17,597.9080962602542,597.9080962602542,579.1102199734062,580.8314819335938,14908257,0.0,0.0
2019-06-18,579.2914249698828,583.3907535617549,574.8524157799528,580.24267578125,16797371,0.0,0.0
2019-06-19,582.9150966818243,589.7547892093555,571.9081638572852,578.5892944335938,14492763,0.0,0.0
2019-06-20,579.7896226018372,588.848879865338,578.8837271123192,587.376708984375,10748848,0.0,0.0
2019-06-21,587.0143737371238,587.0370513620804,577.7739974881432,579.5631713867188,23236832,0.0,0.0
2019-06-24,576.2338971788284,578.1816329721403,569.4168823759018,571.8175659179688,11267228,0.0,0.0
2019-06-25,570.2321824783586,587.9429230624543,568.1258847577412,586.9690551757812,14966899,0.0,0.0
2019-06-26,584.7722200341096,590.9324906871068,582.6659223435535,586.1990356445312,11593027,0.0,0.0
2019-06-27,585.7461422870797,587.444726697785,575.7130163615702,577.139892578125,24905533,0.0,0.0
2019-06-28,578.4760900453064,581.08063035977,565.5893332738173,567.6050415039062,18942165,0.0,0.0
2019-07-01,569.8471794385357,576.4603983039789,564.5928643572615,574.7391967773438,13478857,0.0,0.0
2019-07-02,577.0492869152492,580.2426593834946,572.2252420119354,579.1102294921875,10146746,0.0,0.0
